"No.","Time","Source","Destination","Protocol","Length","Source BD_ADDR","BD_ADDR","Data","Info"
"2771","30.893000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004da7fdeaaebd08019cbf82476b6baeaa6","Rcvd LE Meta (LE Extended Advertising Report)"
"2900","32.711000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100040dd0bfb152bdf06ec74ef853dc83775b","Rcvd LE Meta (LE Extended Advertising Report)"
"3011","34.197000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100040dd0bfb152bdf06ec74ef853dc83775b","Rcvd LE Meta (LE Extended Advertising Report)"
"3103","35.419000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100049376829d1e8eb8d4cbf68b7858d15497","Rcvd LE Meta (LE Extended Advertising Report)"
"3152","36.051000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100040dd0bfb152bdf06ec74ef853dc83775b","Rcvd LE Meta (LE Extended Advertising Report)"
"3184","36.351000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100049376829d1e8eb8d4cbf68b7858d15497","Rcvd LE Meta (LE Extended Advertising Report)"
"3290","38.098000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100040dd0bfb152bdf06ec74ef853dc83775b","Rcvd LE Meta (LE Extended Advertising Report)"
"3616","39.333000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"3623","39.349000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000409cb31dfac43b900cc04cef0058904bf","Rcvd LE Meta (LE Extended Advertising Report)"
"3722","39.705000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"3724","39.716000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000409cb31dfac43b900cc04cef0058904bf","Rcvd LE Meta (LE Extended Advertising Report)"
"3776","39.904000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000409cb31dfac43b900cc04cef0058904bf","Rcvd LE Meta (LE Extended Advertising Report)"
"3828","40.074000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"4043","40.820000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"4096","41.012000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"4302","41.762000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"4341","41.942000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000409cb31dfac43b900cc04cef0058904bf","Rcvd LE Meta (LE Extended Advertising Report)"
"4342","41.945000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"4492","42.505000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000409cb31dfac43b900cc04cef0058904bf","Rcvd LE Meta (LE Extended Advertising Report)"
